let x=1
fn x2=x+x
fn x3=x2+x
fn x4=x3+x
fn x5=x4+x
fn x6=x5+x
fn x7=x6+x
fn x8=x7+x
fn x9=x8+x
fn x10=x9+x
fn x11=x10+x
fn x12=x11+x
fn x13=x12+x
fn x14=x13+x
fn x15=x14+x
fn x16=x15+x
fn x17=x16+x
fn x18=x17+x
fn x19=x18+x
fn x20=x19+x
fn x21=x20+x
fn x22=x21+x
fn x23=x22+x
fn x24=x23+x
fn x25=x24+x
fn x26=x25+x
fn x27=x26+x
fn x28=x27+x
fn x29=x28+x
fn x30=x29+x
fn x31=x30+x
fn x32=x31+x
fn x33=x32+x
fn x34=x33+x
fn x35=x34+x
fn x36=x35+x
fn x37=x36+x
fn x38=x37+x
fn x39=x38+x
fn x40=x39+x
fn x41=x40+x
fn x42=x41+x
fn x43=x42+x
fn x44=x43+x
fn x45=x44+x
fn x46=x45+x
fn x47=x46+x
fn x48=x47+x
fn x49=x48+x
fn x50=x49+x
fn x51=x50+x
fn x52=x51+x
fn x53=x52+x
fn x54=x53+x
fn x55=x54+x
fn x56=x55+x
fn x57=x56+x
fn x58=x57+x
fn x59=x58+x
fn x60=x59+x
fn x61=x60+x
fn x62=x61+x
fn x63=x62+x
fn x64=x63+x
fn x65=x64+x
fn x66=x65+x
fn x67=x66+x
fn x68=x67+x
fn x69=x68+x
fn x70=x69+x
fn x71=x70+x
fn x72=x71+x
fn x73=x72+x
fn x74=x73+x
fn x75=x74+x
fn x76=x75+x
fn x77=x76+x
fn x78=x77+x
fn x79=x78+x
fn x80=x79+x
fn x81=x80+x
fn x82=x81+x
fn x83=x82+x
fn x84=x83+x
fn x85=x84+x
fn x86=x85+x
fn x87=x86+x
fn x88=x87+x
fn x89=x88+x
fn x90=x89+x
fn x91=x90+x
fn x92=x91+x
fn x93=x92+x
fn x94=x93+x
fn x95=x94+x
fn x96=x95+x
fn x97=x96+x
fn x98=x97+x
fn x99=x98+x
fn x100=x99+x
fn x101=x100+x
fn x102=x101+x
fn x103=x102+x
fn x104=x103+x
fn x105=x104+x
fn x106=x105+x
fn x107=x106+x
fn x108=x107+x
fn x109=x108+x
fn x110=x109+x
fn x111=x110+x
fn x112=x111+x
fn x113=x112+x
fn x114=x113+x
fn x115=x114+x
fn x116=x115+x
fn x117=x116+x
fn x118=x117+x
fn x119=x118+x
fn x120=x119+x
fn x121=x120+x
fn x122=x121+x
fn x123=x122+x
fn x124=x123+x
fn x125=x124+x
fn x126=x125+x
fn x127=x126+x
fn x128=x127+x
fn x129=x128+x
fn x130=x129+x
fn x131=x130+x
fn x132=x131+x
fn x133=x132+x
fn x134=x133+x
fn x135=x134+x
fn x136=x135+x
fn x137=x136+x
fn x138=x137+x
